Organization,Email
"Gemeindeverband Abwasserbeseitigung Raum Bad Vöslau, A-2540 Bad Vöslau, Wienerstraße 10",h.kuechli@shmp.at
Marktgemeinde St. Peter in der Au,maderthaner@stpeterau.at
Wasserverband Hofstesig,
AMS Österreich,
Bundesministeriumg für Nachhaltigkeit und Tourismus,Abt-56@bmnt.gv.at
Gemeinde Neukirchen an der Vöckla,leitner@neukirchen-voeckla.ooe.gv.at
Abwasserverband Leiblachtal,
Gemeinde Neukirchen an der Vöckla,leitner@neukirchen.voeckla.ooe.gv.at
Marktgemeinde Sattledt,humer@sattledt.ooe.gv.at
"Landesinnung BAU OÖ, Hessenplatz 3, 4020 Linz",kopececk@ooe.bauakademie.at
Freiwillige Feuerwehr Teesdorf,juergen.rudolf@feuerwehr.gv.at
ELGA GmbH,kinsky@kinsky-consulting.at
Universität Innsbruck,
evn wasser GmbH,oliver.augustin@evn.at
Marktgemeinde Großmugl,buergermeister@grossmugl.gv.at
Stadtgemeinde Langenlois,office@iup.at
Bildungsdirektion Steiermark,
Gemeinde Pfaffstätt,office@kulturtechnik.at
evn wasser GmbH,marco.witti@evn.at
Marktgemeinde Waldegg,post.wa3industrieviertel@noel.gv.at
Stadtgemeinde Pregarten,office@kulturtechnik.at
Bundeskammer der ZiviltechnikerInnen,office@arching.at
Wasserleitungsverband Nördliches Burgenland,
BVA-Versicherungsanstalt öffentlich Bediensteter,Wolfgang.Koeberl@bva.at
Netz Niederösterreich GmbH,dieter.kittel@evn.at
Netz Niederösterreich GmbH,stefan.mandl@evn.at
Marktgemeinde Rossatz-Arnsdorf,office@argearchitekten.at
Österreichische Galerie Belvedere,kaelte-belvedere@kwr.at
KHM-Museumsverband,bertrun.kos@khm.at
EVN Wärme GmbH,oliver.augustin@evn.at
Marktgemeinde Paldau,riedler@planwerkstadt.cc
Museum moderner Kunst Stiftung Ludwig Wien (MUMOK),
"Österreichische Forschungsförderungsgesellschaft mbH im Auftrag der Republik Österreich, vertreten durch das Bundesministerium für Verkehr, Innovation und Technologie (BMVIT)",
ÖGIZIN GmbH,office@kanzlei-breitenfeld.at
Sozialversicherungs-Chipkarten Betriebs- und Errichtungsgesellschaft m.b.H. - SVC,vergabeverfahren@svc.co.at
Netz Nierderösterreich GmbH,stefan.mandl@evn.at
MArktgemeinde Hausleietn,bgm@hausleiten.gv.at
"Leitha-Wasserverband II vertreten durch das Amt der NÖ Landesregierung, Abteilung Wasserbau - Regionalstelle Industrieviertel",post.wa3industrieviertel@noel.gv.at
Gemeinde Kleinzell im Mühlkreis,gemeinde@kleinzell.ooe.gv.at
Gemeinde Raggal,office@breuss-maehr.at
Abwasserverband Oberes Pölstal,awv@poelstal.gv.at
Energy Changes Projektentwicklung GmbH,gottfried.heneis@energy-changes.com
EVN Wärme GmbH,dieter.kittel@evn.at
Netz Niederösterreich GmbH,gerlinde.metz@evn.at
Kongresskultur Bregenz GmbH,rebecca.peletti@kongresskultur.com
Stadtgemeinde Hainburg/Donau,ztbuero@paikl.at
Gemeinde Höchst,office@rgpzt.at
Kärntner Gebietskrankenkasse,
Marktgemeinde Bad Pirawarth,office@kraner.at
Marktgemeinde Podersdorf am See,post@podersdorf-see.bgld.gv.at
FF Vitis,vitis@feuerwehr.gv.at
Abfallverband Schwechat,
Freiwillige Feuerwehr Lindabrunn,lindabrunn@feuerwehr.gv.at
Stadtgemeinde Poysdorf,gemeinde@poysdorf.at
Umweltdienst Burgenland GmbH,rudolf.haider@udb.at
KHM-Museumsverband,paul.hoflehner@khm.at
Marktgemeinde Strengberg,office@ikw-amstetten.at
Tullner Kommunal Immobilen KG,paul.riedler@tulln.gv.at
KHM-Museumsverband,thomas.gaisberger@khm.at
Marktgemeinde Wallsee-Sindelburg,office@ikw-amstetten.at
"Amt der burgenländischen Landesregierung, Abteilung 5 - Baudirektion",h.schaffer@mecca-consulting.at
Marktgemeinde St. Florian,office@kulturtechnik.at
Vereinigte Bühnen Wien GmbH,architekt@mramor.at
Stadtgemeinde Retz,office@iup.at
Stadtgemeinde St. Valentin,office@ikw-amstetten.at
Bildungsdirektion Wien,wolfgang.pernecker@bildung-wien.gv.at
"Gemeinde Waldneukirchen, Dorfplatz 1, 4595 Waldneukirchen",gemeinde@waldneukirchen.ooe.gv.at
Johannes Kepler Universität Linz,vergabeverfahren@jku.at
Marktgemeinde Seitenstetten,office@ikw-amstetten.at
Veterinärmedizinische Universität,christoph.zawieschitzky@vetmeduni.ac.at
Österreichische Akademie der Wissenschaften,
Kepler Universitätsklinikum GmbH,office@omniahochp.at
Gemeinde Lesachtal,kaernten@steinbacher.co.at
TWVB Münchendorf-Trumau-Oberwaltersdorf,twvb@gemeinde-muenchendorf.at
Marktgemeinde St. Stefan im Rosental,mail@tb-dormann.at
mumok - Museum moderner Kunst Stiftung Ludwig Wien,office@casati.at
Freiwillige Feuerwehr Laimbach am Ostrong,N12404009@feuerwehr.gv.at
ABBAG – Abbaumanagementgesellschaft des Bundes,
Albertina Wissenschaftliche Anstalt öffentlichen Rechts,albertina@wolftheiss.com
"Wiener Hafen Lager Ausbau- und Vermögensverwaltung, GmbH & Co KG",wolf@hafenwien.com
Netz Niederösterreich GmbH,alexander.fuhri@evn.at
Stadtgemeinde Schrems,gemeinde@schrems.at
Abfallwirtschaftsverband Hartberg,pfeifer@awv-hartberg.at
ELGA GmbH,
MG Bisamberg,bisamberg@bisamberg.at
EVN Wärme GmbH,roman.doppler@evn.at
Freiwillige Feuerwehr Brand - Laaben,ddaxboeck74@gmail.com
KHM-Museumsverband,bruno.ploner@khm.at
Austro Control Gesellschaft mit beschränkter Haftung,
Profactor GmbH,
Netz Niederösterreich GmbH,
Freiwillige Feuerwehr Eichhorn,roman.strasser@theaterservice.at
Marktgemeinde Frankenmarkt,office@russ-zt.at
Bundesdenkmalamt,
Stadtgemeinde Zistersdorf,juergen.hochmeister@zistersdorf.gv.at
Gemeinde Kleinzell im Mühlkreis,florian.hofer@kleinzell.ooe.gv.at
AWV Nördliches Liebochtal,a.philadelphy@awvgrazerfeld.at
Marktgemeinde Angern/March,gemeinde@angern.at
O.Ö. Landes-Abfallverwertungsunternehmen GmbH,logistik@lavu.at
KRAGES Burgenländische Krankenanstalten Gesellschaft m.b.H,
Umweltdienst Burgenland GmbH,office@udb.at
Freiwillige Feuerwehr Unter-Oberndorf,robert.gruber@feuerwehr.gv.at
"Bundesministerium für Arbeit, Soziales, Gesundheit und Konsumentenschutz (Sozialministerium)",kanzlei@mw-ra.at
Versicherungsanstalt öffentlich Bediensteter (BVA),bauwesen@bva.at
Marktgemeinde St. Martin-Karlsbach,office@ikw-amstetten.at
Freiwillige Feuerwehr Gföhl,gfoehl@feuerwehr.gv.at
Technisches Museum Wien mit Österreichischer Mediathek,office@kinsky-consulting.at
Netz Niederösterreich GmbH,marcus.kapeller@evn.at
Lakeside Science & Technology Park GmbH,"lakesidebau@lakeside-scitec.com, atc-lakeside02@tripolt.at"
Gemeinde Lech,info@gemeinde.lech.at
"Amt der Kärntner Landesregierung, Abteilung 10 - Land- und Forstwirtschaft, ländlicher Raum vertr. d. Agrarbehörde Kärnten","Leopold.ASTNER@ktn.gv.at, office@ibk.co.at"
Stadtgemeinde Knittelfeld,bernd.rehschuetzecker@knittelfeld.gv.at
Freiwillige Feuerwehr Traisen-Markt,armin.steindl@feuerwehr.gv.at
"NEUSTART - Bewährungshilfe, Konfliktregelung, Soziale Arbeit",
"Bundesministerium für Arbeit, Soziales, Gesundheit und Konsumentenschutz",
Österreichische Galerie Belvedere,david@engelmann.at
BMASGK,
Klima- und Energiefonds,ausschreibung@kommunalkredit.at
Marktgemeinde Pernitz,gemeinde@pernitz.co.at
"Bundesministerium für Nachhaltigkeit und Tourismus, vertreten durch das Amt der Kärntner Landesregierung, Abteilung 8",wpa@wpa.at
Freiwillige Feuerwehr Berndorf-Stadt,berndorf@feuerwehr.gv.at
EVN Wärme GmbH,stefan.mandl@evn.at
Gemeinde Weiden am See,kdt-stv@ff-weidenamsee.at
Amt der Oberösterreichischen Landesregierung,r.kunze@gutlinz.at
Österreichische Beteiligungs AG,oebag@kwr.at
Versicherungsanstalt für Eisenbahnen und Bergbau,office@terzaki.at
Stadtgemeinde Mureck,
Netz Niederösterreich GmbH,oliver.augustin@evn.at
"Marktgemeinde Altmünster, Marktstraße 21, 4813 Altmünster",office@architektur-scheutz.at
Oesterreichische Banknoten- und sicherheitsdruck GmbH,
"Wiener Hafen und Lager Ausbau- und Vermögensverwaltung, GmbH & Co KG",wolf@hafenwien.com
Stadtwerke Leoben e.U.,office@stadtwerke-leoben.at
Gemeinde Königsdorf,office@ibl-zt.at
Gemeinde Stubenberg am See,gde@stubenberg.gv.at
Österreichische Forschungsförderungsgesellschaft,
"Republik Österreich, vertreten durch die Bundesministerin für Arbeit, Soziales, Gesundheit und Konsumentenschutz",
Bundesministerium für Nachhaltigkeit und Tourismus,Susanne.Brandstetter@bmnt.gv.at
Vösendorfer Kommunal GmbH,ausschreibung@adjokat.at
Neusielder Seebahn GmbH,eisenstadt@hbw.co.at
Marktgemeinde Aggsbach,gemeinde@aggsbach.gv.at
Niederösterreich-Werbung GmbH,anna.groeger@noe.co.at
Marktgemeinde Schwadorf,kiga-schwadorf@heide-fritz.at
Gemeinde Burgauberg-Neudauberg,wutzlhofer@daxundpartner.at
"Bundesministerin für Arbeit, Soziales, Gesundheit und Konsumentenschutz",
Freiwillige Feuerwehr St.Anton an der Jeßnitz,st.anton-jessnitz@feuerwehr.gv.at
Feuerwehr Perchtoldsdorf,perchtoldsdorf@feuerwehr.gv.at
WWF Österreich,unser-inn@wwf.at
Wiener Gesundheitsförderung gemeinnützige GmbH,christian.landsfried@wig.or.at
CeMM - FORSCHUNGSZENTRUM FÜR MOLEKULARE MEDIZIN GmbH,office@cemm.oeaw.at
Stadtgemeinde Pulkau,m.krimmel@pulkau.gv.at
Österreichische Akademie der Wissenschaften (ÖAW),
Eisenwerk Sulzau-Werfen R. & E. Weinberger AG,konkurrenzbruecke@sbv-ztgmbh.at
WWF Österreich,"unser-inn@wwf.at, unser-inn@wwf.at"
"Republik Österreich, Bundesministerium für Nachhaltigkeit und Tourismus, vertreten durch Amt der Oö. Landesregierung, Direktion Umwelt- und Wasserwirtschaft, Abteilung Anlagen-, Umwelt- und Wasserrecht",wpa@wpa.at
Donau Chemie AG,office@kanzlei-breitenfeld.at
Niederösterreichische Gebietskrankenkasse,
Versicherungsanstalt öffentlich Bediensteter,bauwesen@bva.at
Marktgemeinde Bockfließ,office@kraner.at
"Amt der burgenländischen Landesregierung, Abteilung 5 - Baudirektion",
"Bundesministerium für Arbeit, Soziales, Gesundheit und Konsumentenschutz",gabriela.elbelazi@sozialministerium.at
Krankenfürsorgeanstalt der Bediensteten der Stadt Wien – KFA,
"Republik Österreich, vertreten durch BM für Nachhaltigkeit und Tourismus, vertreten durch Amt der NÖ Landesregierung, Abteilung WA2",
Marktgemeinde Lutzmannsburg,office@ibl-zt.at
Verein Lokale Agenda 21 Wien,
Marktgemeinde St. Ruprecht/Raab,weber@geosys.at
Bundesministerin für Nachhaltigkeit und Tourismus,
Marktgemeinde Rabenstein an der Pielach,gemeinde@rabenstein.gv.at
Technisches Museum Wien mit Österreichischer Mediathek,kinsky@kinsky-consulting.at
Salzburger Gebietskrankenkasse (SGKK),wirtschaft@sgkk.at
Nationalparkgesellschaft Neusiedler See - Seewinkel,eisenstadt@daxundpartner.at
Stadtgemeinde Hollabrunn,office@iup.at
Gemeinde Wiesfleck,eisenstadt@daxudnpartner.at
Marktgemeinde Bisamberg,
VERBUND AG,inna.kapp@verbund.com
Marktgemeinde 7203 Wiesen,post@wiesen.bgld.gv.at
Freiwillige Feuerwehr Berndorf-Stadt,
Post AG,tobias.bernecker@post.at
Neusiedler Seebahn GmbH,eisenstadt@hbw.co.at
Österreichische Nationalbibliothek,office@kinsky-consulting.at
Marktgemeinde Erlauf,
Immobilien Baden GmbH & Co KG,
Magistrat der Stadt Waidhofen an der Ybbs - PW/3 - Bauamt,martin.helm@waidhofen.at
EVN Wasser GmbH,dieter.kittel@evn.at
Gemeinde Pöndorf,johann.lochner@poendorf.ooe.gv.at
ÖBB Technische Services GmbH,a.schwarz@drei.at
Stadtgemeinde St. Valentin,office@omniahochp.at
Versicherungsanstalt öffentlich Bediensteter (BVA),wolfgang.koeberl@bva.at
Marktgemeinde Kirchbach,office@stranner-ibs.at
Stadt Waidhofen an der Ybbs,manfred.essletzbichler@wolftheiss.com
Stadtgemeinde Neusiedl/See,martin.marosits@ib-wachter.at
AGGM Austrian Gas Grid Management AG,richard.schwarz@aggm.at
Marktgemeinde Riedlingsdorf,wutzlhofer@daxundpartner.at
Gemeinde Antau,eisenstadt@daxundpartner.at
Österreichische Post AG,stefan.steindl@post.at
Oead (Österreichische Austaushcdienst)-Gesellschaft mit beschränkter Haftung,
Marktgemeinde Bad Goisern,helga.grampelhuber@bad-goisern.ooe.gv.at
Marktgemeinde Ziersdorf,office@omniahochp.at
Stadtgemeinde Hollabrunn,hintermeier@kstp.at
Steiermärkische Gebietskrankenkasse,
Marktgemeinde St. Peter in der Au,
Verein Nationalparks Austria,
Verein für KOnsumenteninformation,vergabe@h-i-p.at
"Bundesministerium für Nachhaltigkeit und Tourismus, Abt. V/3, vertreten durch den Landeshauptmann von Oberösterreich, vertreten durch die Abteilung Anlagen-, Umwelt- und Wasserrecht",office@gutlinz.at
evn wasser GmbH,
Bundesministerium für Digitalisierung und Wirtschaftsstandort,POST.Vergaben@bmdw.gv.at
Abwasserverband Hall i.T. - Fritzens,office@tba-telfs.at
Herr,office@tba-telfs.at
Niederösterreich-Werbung GmbH,juergen.mayrhofer@noe.co.at
Lakeside Science & Technology Park GmbH,lakesidebau@lakeside-scitec.com
Stadtgemeinde HORN,office@micheljak.at
Abwasserverband Brixlegg und Umgebung,office@tba-telfs.at
Stadtgemeinde Schärding,stadt@schaerding.ooe.gv.at
"Stadt Wien, Unternehmung Wiener Krankenanstalten",office@estermann-pock.at
6B47 Althan Quartier Alpha GmbH & Co KG,althanquartier@ic-group.org
EVN Wärme GmbH,alexander.fuhri@evn.at
"Stadtgemeinde Hainfeld, Hauptstraße 5, 3170 Hainfeld",office@gutlinz.at
Bildungsdirektion,sabine.habicht@bildung-stmk.gv.at
Kepler Universitätsklinikum GmbH,p.worbis@medcmapus.i-pm.info
Stadtgemeinde Amstetten,"m.gratzer@amstetten.at, kanzlei@palla.at"
Med. Zentrallaboratorium Gesellschaft mbH,wfrick@mzl.at
Fachgruppe Werbung und Marktkommunikation der Wirtschaftskammer Niederösterreich,ic1@wknoe.at
Versicherungsanstalt öffentlich Bedienstete (BVA),wolfgang.koeberl@bva.at
Gemeinde Gutenberg Stenzengreith,"gde@gutenberg-stenzengreith.gv.at, lafer@lafer-gierer.at"
Freiwillige Feuerwehr St. Pölten-Spratzern,thomas.kornberger@feuerwehr.gv.at
EVN AG,alexander.fuhri@evn.at
Stadtgemeinde Vöcklabruck,stadtamt@attnang-puchheim.ooe.gv.at
Nationalfonds der Republik Österreich für Opfer des Nationalsozialismus,
Nationalfonds der Republik Österreich für Opfer des Nationalsozialismus,d.macht@nationalfonds.org
Netz Niederösterreich GmbH,marco.witti@evn.at
Marktgemeinde Ferschnitz,office@ikw-amstetten.at
Hafen Wien GmbH,wolf@hafenwien.com
"Österreichische Bundesforste AG, Forstbetrieb Oberinntal",hannes.marktl@bundesforste.at
Gemeinde Parndorf,post@parndorf.bgld.gv.at
GA Immobilien GmbH,
"Stadt Wien, Unternehmung Wiener Krankenanstaltenverbund",sscbetrieb@wienkav.at
Verein für Konsumenteninformation,
Bregenzer Festspiele GmbH,rebecca.peletti@kongresskultur.com
Österreichische Post AG,
Technisches Museum Wien mit Österreichischer Mediathek,
Versicherungsanstalt öffentlich Bediensteter (BVA),werbeartikel@kwr.at
Österreichische Post AG,tanja.mueller@post.at
Abwassergenossenschaft Hintertrattberg,w.struber@trattberg.at
Veterinärmedizinische Universität Wien,christoph.zawieschitzky@vetmeduni.ac.at
"Stadt Wien, Wiener Krankenanstaltenverbund",sscbetrieb@wienkav.at
Österreichische Post AG,gabriela.wais@post.at
"Stadt Wien - Unternehmung Wiener Krankenanstaltenverbund (""KAV"")",kav@harrerschneider.at
Gemeinde Enzenreith,verwaltung@gemeinde-enzenreith.at
Wasserverband Neufelderseen-Gebiet,office@wasserverband-neufelderseen.at
Stadtgemeinde Tulln an der Donau,office@vanek-ztg.at
Wiener Gebietskarankenkasse,
Marktgemeinde Gratkorn,
Marktgemeinde Schönbühel-Aggsbach,g.pachschwoell@schneider-consult.at
Gemeinde Viehdorf,gemeinde@viehdorf.gv.at
Marktgemeinde Obritzberg-Rust,gemeinde@obritzberg-rust.gv.at
Netz Niederösterreich GmbH,anton.polster@evn.at
Freiwillige Feuerwehr Mannersdorf / Lgb.,mannersdorf-leithagebirge@feuerwehr.gv.at
Marktgemeinde Grabern,office@iup.at
Schönbrunner Tiergarten Gesellschaft m.b.H.,
RHV Pinzgauer Saalachtal,"office@bdl.at, w.geyer@bdl.at"
Stadtgemeinde Melk,p.hackl@schneider-consult.at
Wassergenossenschaft Rankweil,t.klas@breuss-maehr.at
Bundesministerium für Digitalisierung und Wirtschaftsstandort,
Marktgemeinde St. Andrä-Wördern,office@pfeiller.at
Niederösterreich-Werbung GmbH,christoph.henneis@noe.co.at
"Bundesministerium für Arbeit, Soziales, Gesundheit und Konsumentenschutz",christine.hain@sozialministerium.at
Freiwillige Feuerwehr Weisching,christian.pawaronschuetz@feuerwehr.gv.at
"Marktgemeinde St.Andrä-Wörden, Altgasse 30, 3423 St.Andrä-Wördern",office@schermann-stolfa.at
"Maktgemeinde St.Andrä-Wördern, Altgasse 30, 3423 St.Andrä-Wördern",office@schermann-stolfa.at
"Marktgemeinde St.Andrä-Wördern, Altgasse 30, 3423 St.Andrä-Wördern",office@schermann-stolfa.at
ASFINAG Service GmbH,
BMF,
Stdtgemeinde Hainfeld,
TS 4-6 Liegenschaftsverwaltung GmbH,b.gierlinger@gutlinz.at
3420 Aspern Development AG,
Niederösterreich-Werbung GmbH,
Marktgemeinde St. Peter am Kammersberg,weber@geosys.at
Bregenzer Festspiele GmbH,rebecca.boss@kongresskultur.com
Stadtgemeinde Frohnleiten,
Amt der Oö. Alndesregierung,
Tullner Kommunal Immobilen KG,
"Stadt Wien, Unternehmung Wiener Krankenanstaltenverbund",office@estermann-pock.at
Marktgemeinde Zeiselmauer-Wolfpassing,gemeinde@zeiselmauer.gv.at
Stadtgemeinde Frauenkirchen,post@frauenkirchen.bgld.gv.at
GA Immobilien GbmH,gerald.holzbauer@porr.at
Donau Chemie AG,
WWF Österreich,elisabeth.soetz@wwf.at
Stadtgemeinde Gerasdorf bei Wien,g.pachschwoell@schneider-consult.at
Bregenzer Festspiele GmbH,"ausschreibung.bregenzerfestspiele@bregenzerfestspiele.com, ausschreibung.bregenzerfestspiele@bregenzerfestspiele.com"
ÖBB-Immobilienmanagement GmbH,helena.horvat@pv.oebb.at
Bildungsdirektion Salzburg,
Gemeinde Raggal,
Marktgemeinde Lenzing,amtsleitung@lenzing.or.at
Bundesdenkmalamt,andreas.heindl@bka.gv.at
Österreichische Beteiligungs AG,
MA56 Wiener Schulen vertreten durch WIP,melanie.salmutter@wse.at
ÖGIZIN GmbH,
Oesterreichische Banknoten-und Sicherheitsdruck GmbH,OeBS.Einkauf@oenb.at
Marktgemeinde Bad Goisern,
Bundesaltlastensanierungsges.m.b.H.,
Oesterreichische Nationalbank,
Bundesministerium für Digitalisierung und Wirtschaftsstandort (BMDW),post.vergaben@bmdw.gv.at
Eisenwerk Sulzau-Werfen R. & E. Weinberger AG,
Marktgemeinde Podersdorf am See,
Marktgemeinde Sonntagberg,office@ikw-amstetten.at
Wiener Gesundheitsförderung gemeinnützige GmbH,
Marktgemeinde Großebersdorf,office@kraner.at
EVN Wärme GmbH,
Marktgemeinde Oed-Öhling,office@ikw-amstetten.at
"Republik Österreich (Bund), vertreten durch Bundesministerium für Digitalisierung und Wirtschaftsstandort",
"Republik Österreich, vertreten durch BM für Nachhaltigkeit und Toursimus, vertreten durch Amt der NÖ Landesregierung, Abteilung WA2",
"Bundesministerium f. Bildung, Wissenschaft und Forschung",
Marktgemeinde Ober-Grafendorf,gemeindeamt@ober-grafendorf.at
Arbeitsmarktservice Österreich,office@kanzlei-breitenfeld.at
Gemeindeverband BKH Kufstein,hannes.juffinger@bkh-kufstein.at
Land Oberösterreich,
Marktgemeinde Payerbach,n15211@feuerwehr.gv.at
Versicherungsanstalt öffentlich Bediensteter (BVA),kuraufenthalt@kwr.at
Verein Schutzgebietsverwaltung Wildnisgebiet Dürrenstein,weltnaturerbezentrum@wolftheiss.com
"Stadt Wien, Wiener Krankenanstaltenverbund",
Marktgemeinde Gaming,gemeindeamt@gaming.noe.at
AUTOBAHNEN UND SCHNELLSTRASSEN FINANZIERUNGS AG,heinzchristian.bruenner@asfinag.at
Stadt Wien - Wiener Wohnen Kundenservice GmbH,manfred.essletzbichler@wolftheiss.com
"Bundesministerium für Nachhaltigkeit und Tourismus, dieses im Vergabeverfahren vertreten durch die Österreichische Energieagentur (AEA)",klimaaktivmobil@energyagency.at
Marktgemeinde Königswiesen,wiesinger@koenigswiesen.ooe.gv.at
Gemeinde Laab im Walde,office@kraner.at
Marktgemeinde Illmitz,"sepp.haider@illmitz.bgld.gv.at, prost@h2arch.at"
AGGM Austrian Gas Grid Management AG,
Verein Ferienhort,
Freiwillige Feuerwehr Krems/Donau,gerhard.urschler@feuerwehr-krems.at
Verein zur Erhaltung und Erneuerung der Infrastruktur der Stadtgemeinde Oberpullendorf und Co. Kommanditgesellschaft,post@oberpullendor.at
Oesterreichische Banknoten-und Sicherheitsdruck GmbH,oebs.Einklauf@oenb.at
Austro Control Österreichische Gesellschaft für Zivilluftfahrt mit beschränkter Haftung,
Kammer für Arbeiter und Angestellte für Oberösterreich,kommunikation@akooe.at
Feuerwehr Enzesfeld,"kdt@ff-enzesfeld.at, kdt@ff-enzesfeld.at"
Land Niederösterreich,
Versicherungsanstalt öffentlich Bediensteter (BVA),
Abwasserverband Brixlegg und Umgebung,
Abwasserverband Hall i.T. - Fritzens,
Gemeinde Grafenschachen,eisenstadt@daxundpartner.at
Gemeinde Andau,office@oestap.at
Triesting Wasserverband,stefan.fischer@leobersdorf.at
Kepler UNiversitätsklinikum GmbH,peter.worbis@l-bau-engineering.at
Gemeinde Kematen/Kr.,"christoph.schuetzenhofer@kematen-krems.ooe.gv.at, karin.rieger@fhce.at"
Stadt Waidhofen an der Ybbs,
Austro Control Österreichische Gesellschaft für Zivilluftfahrt mit beschränkter Haftung,vergabeservices@asutrocontrol.at
GAV Pulkau-Schrattenthal-Pillersdorf,office@vanek-ztg.at
Gemeinde Ernsthofen,office@poppeprehal.at
AUTOBAHNEN- UND SCHNELLSTRASSEN-FINANZIERUNGS-AKTIENGESELLSCHAFT,Julia.Della-Porta@asfinag.at
Marktgemeinde Riedau,gemeinde@riedau.ooe.gv.at
Stadtgemeinde Gänserndorf,office@kienerconsult.at
WIEN 3420 ASPERN DEVELOPMENT AG,planersuche@kwr.at
Österreichische Gesundheitskasse,
"Bundesministerium für Arbeits, Soziales, Gesundheit und Konsumentenschutz",
Vereinigte Bühnen Wien GmbH,Christian.Rameis@vbw.at
OeAD (Österreichische Austauschdienst)-Gesellschaft mit beschränkter Haftung Austrian Agency for International Cooperation in Education and Research (OeAD-GmbH),
Marktgemeinde Engelhartstetten,office@vanek-ztg.at
Energy Community,
Österreich Wein Marketing GmbH,info@oesterreichwein.at
Marktgemeinde Sattledt,
Landwirtschaftskammer Niederösterreich,office@kanzlei-breitenfeld.at
GIS Gebühren Info Service GmbH (kurz „GIS“),
Verein KulturKontakt Austria,
EBG MedAustron GmbH,
Albertina Wissenschaftliche Anstalt öffentlichen Rechts,
Abwasserverband Region Bezau,office@rgpzt.at
Stadtgemeinde Waidhofen an der Thaya,office@iup.at
Stadtgemeinde Poysdorf,erich.grabler@poysdorf.gv.at
Freiwillige Feuerwehr Mannersdorf/Leithagebirge,
Kepler Universitätsklinikum GmbH,
BUNDESMINISTERIUM LANDESVERTEIDIGUNG,ka.1@bmlv.gv.at
Gemeinde Gaschurn,gemeinde@gaschurn.at
TS 4-6 Liegenschaftsverwaltung GmbH,
Marktgemeinde Pettenbach,office@neubaubuero.at
Wiener Krankenanstaltenverbund,
Marktgemeinde Obritzberg-Rust,
Rebuplik Österreich BMNT vertreten durch: Amt der Oö. Landesregierung,
Lakeside Science & Technology Park GmbH,lakesidebau@lakeside-scitec.at
Oesterreichische Nationalbank,bianca.schaider@oenb.at
Freiwillige Feuerwehr Velm,
Gemeinde Dellach im Drautal,kaernten@steinbacher.co.at
Energy Community,marta.bromboszcz@energy-community.org
Abwasserverband Völkermarkt - Jaunfeld,e.haider@bm-moik.at
Marktgemeinde Gresten,office@ikw-amstetten.at
Martgemeinde Gresten,office@ikw-amstetten.at
Österreichische Akademie der Wissenschaften Österreichisches Archäologisches Institut,
Stadt Wien - Wiener Wohnen Kundenservice GmbH,
Deutsche Zentrale für Tourismus e.V.,daniela.wahls@germany.travel
Gemeinde Lochen am See,gemeinde@lochen.ooe.gv.at
Microstrategy Austria GmbH,
Bundeskammer der ZiviltechnikerInnen,
Gemeinde Marz,daniel.schmidl@marz.bgld.gv.at
Marktgemeinde Tulbing,office@vanek-ztg.at
MG Leopoldsdorf im Marchfelde,wien@steinbacher.co.at
Autobahnen- und Schnellstraßen-Finanzierungs-Aktiengesellschaft,"wolfgang.eberhart@asfinag.at, thomas.plattner@asfinag.at"
Marktgemeinde Schruns,gerald.vonbank@schruns.at
"Republik Österreich (Bund), vertreten durch die Bundesministerin für Digitalisierung und Wirtschaftsstandort",
Marktgemeinde Scheiblingkirchen-Thernberg,office@kraner.at
Gemeinde Feistritz am Wechsel,gemeinde@feistritz-wechsel.gv.at
"Bundesministerium für Kunst, Kultur, öffentlichen Dienst und Sport",
Stadt Wien - Wiener Krankenanstaltenverbund,
Bundesministerium für öffentlichen Dienst und Sport,
Gemeinde Frankenau-Unterpullendorf,wutzlhofer@daxundpartner.at
Gemeinde Münchendorf,office@iup.at
Stadtgemeinde Allentsteig,office@iup.at
Gemeinde Steinbach am Attersee,gemeinde@steinbach-attersee.ooe.gv.at
Stadtgemeinde Pulkau,office@iup.at
Lakeside Science & Technology Park GmbH,"schellander@lakeside-scitec.com, ebner@lakeside-scitec.com"
Stadtgemeinde Korneuburg,guenter.bursch@korneuburg.gv.at
Gemeinde Kematen/Kr.,
GA Glanzstoff GmbH,gerald.holzbauer@porr.at
"Bundesminister für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie",michael.rabitsch@ktn.gv.at
Marktgemeinde Wartberg ob der Aist,s.haneder@wartberg-aist.ooe.gv.at
Marktgemeinde Breitenfurt,office@kraner.at
Stadtgemeinde Leonding,office@luger-maul.at
AWS Abfallverband Schwechat,ztbuero@paikl.at
Österreichische Gesundheistkasse,
Oesterreichische Banknoten- und Sicherheitsdruck GmbH,OeBS.Einkauf@oenb.at
AWV Seewinkel,awv.seewinkel@aon.at
Österreichisches Staatsarchiv,
Marktgemeinde St.Gallen 8933,bm-schoenegger@aon.at
Stadtgemeinde Fischamend,office@vanek-ztg.at
Marktgemeinde St.Gallen,bm-schoenegger@aon.at
O.Ö. Landes-Abfallverwertungsunternehmen GmbH,
Marktgemeinde Hausleiten,gemeinde@hausleiten.at
Österreichische Gesundheitskasse,vergabeverfahren-11@oegk.at
Gemeinde Tarrenz,office@zt-gstrein.at
Gemeinde Zagersdorf,post@zagersdorf.bgld.gv.at
Gemeinde Großriedenthal,gemeinde@grossriedenthal.at
